#,Database Field Name,Type,Len,Format,Label,Comment,rev: 2019
1,CRASH_ID,Num,8,11,"Crash ID  (internal, auto-generated unique identifying number)","See ReadMe_rev_07-2009 file, Part IV-A",
2,SER_NO,Char,5,5,DMV Crash Serial Number,,
3,CRASH_DT,Num,8,DATETIME19.,Crash Date,,
4,CRASH_MO_NO,Char,2,2,Crash Month Number,,
5,CRASH_DAY_NO,Char,2,2,Crash Day Number,,
6,CRASH_YR_NO,Char,4,4,Crash Year Number,,
7,CRASH_WK_DAY_CD,Char,1,1,Crash Day of Week Code,,
8,CRASH_HR_NO,Char,2,2,Crash Hour Code,,
9,CRASH_HR_SHORT_DESC,Char,3,3,Crash Hour Short Description,,
10,CNTY_ID,Char,2,2,County ID,,
11,CNTY_NM,Char,50,50,County Name,,
12,CITY_SECT_ID,Num,8,6,City Section ID,,
13,CITY_SECT_NM,Char,25,25,City Section Name,,
14,URB_AREA_CD,Num,8,4,Urban Area Code,,
15,URB_AREA_SHORT_NM,Char,15,15,Urban Area Short Name,,
16,FC_CD,Char,2,2,Functional Classification Code,,
17,FC_SHORT_DESC,Char,8,8,Functional Classification Short Description,,
18,NHS_FLG,Num,8,2,NHS Flag,,
19,HWY_NO,Char,3,3,Highway Number,,
20,HWY_SFX_NO,Char,2,2,Highway Suffix Number,Placeholder field.  Contains 2 spaces.,
21,HWY_MED_NM,Char,30,30,Highway Medium Name,Medium-length version of Highway Name,
22,RDWY_NO,Char,1,1,Roadway Number (only state hwy),,
23,HWY_COMPNT_CD,Char,1,1,Highway Component Code,,
24,HWY_COMPNT_SHORT_DESC,Char,2,2,Highway Component Short Description,,
25,MLGE_TYP_CD,Char,1,1,Mileage Type Code,,
26,MLGE_TYP_SHORT_DESC,Char,1,1,Mileage Type Short Description,,
27,RD_CON_NO,Char,1,1,Connection Number (Ramp / Over-head Connection on State Highway System),,
28,LRS_VAL,Char,20,20,Linear Reference System Value,,
29,LAT_DEG_NO,Num,2,6,Latitude (Deg),,
30,LAT_MINUTE_NO,Num,2,6,Latitude (Min),,
31,LAT_SEC_NO,Num,8,,Latitude (Sec),,
32,LONGTD_DEG_NO,Num,3,6,Longitude (Deg),,
33,LONGTD_MINUTE_NO,Num,2,6,Longitude (Min),,
34,LONGTD_SEC_NO,Num,8,,Longitude (Sec),,
35,LAT_DD,Num,,Decimal,n/a  (only available from MS Access decode Crash table),,
36,LONGTD_DD,Num,,Decimal,n/a  (only available from MS Access decode Crash table),,
37,SPECL_JRSDCT_ID,Char,2,2,Special Jurisdiction ID (Recreational Areas),,
38,SPECL_JRSDCT_SHORT_DESC,Char,10,10,Special Jurisdiction Short Description,,
39,JRSDCT_GRP_CD,Char,2,2,Jurisdiction Group Code,,
40,JRSDCT_GRP_SHORT_DESC,Char,3,3,Jurisdiction Group Short Description,,
41,AGY_ST_NO,Char,15,15,Agency Street Number,,
42,ST_FULL_NM,Char,28,28,Street Full Name,,
43,RECRE_RD_NM,Char,15,15,Recreational Road Name,,
44,ISECT_AGY_ST_NO,Char,15,15,Intersecting Agency Street Number,,
45,ISECT_ST_FULL_NM,Char,28,28,Intersecting Street Full Name,,
46,ISECT_RECRE_RD_NM,Char,15,15,Intersecting Recreational Road Name,,
47,ISECT_SEQ_NO,Int,Auto,,Intersection Sequence Number,"Default = '1'.  For streets that intersect multiple times, indicates which intersection (1st, 2nd, etc.), with 1 being the southern- or western-most.",
48,FROM_ISECT_DSTNC_QTY,Num,8,6,Distance from Nearest Intersection Code,,
49,CMPSS_DIR_CD,Char,1,1,Compass Direction Code,,
50,MP_NO,Num,9,,Milepoint Number,,
51,POST_SPEED_LMT_VAL,Char,2,2,Posted Speed Limit Value,,
52,RD_CHAR_CD,Char,1,1,Road Character Code,,
53,RD_CHAR_SHORT_DESC,Char,8,8,Road Character Short Description,,
54,OFF_RDWY_FLG,Num,8,2,Off Roadway Flag (coded according to the location of the First Harmful Event),,
55,ISECT_TYP_CD,Char,1,1,Intersection Type Code,,
56,ISECT_TYP_SHORT_DESC,Char,7,7,Intersection Type Short Description,,
57,ISECT_REL_FLG,Num,8,2,Intersection-Related Flag,,
58,RNDABT_FLG,Num,8,2,Roundabout Flag,,
59,DRVWY_REL_FLG,Num,8,2,Driveway Related Flag,,
60,LN_QTY,Num,8,4,Number of Lanes (both directions),,
61,TURNG_LEG_QTY,Num,8,4,Number of Turning Legs,,
62,MEDN_TYP_CD,Char,1,1,Median Type Code,,
63,MEDN_TYP_SHORT_DESC,Char,5,5,Median Type Short Description,,
64,IMPCT_LOC_CD,Char,2,2,Location of Impact code,,
65,CRASH_TYP_CD,Char,1,1,Crash Type Code,,
66,CRASH_TYP_SHORT_DESC,Char,10,10,Crash Type Short Description,,
67,COLLIS_TYP_CD,Char,1,1,Collision Type Code,,
68,COLLIS_TYP_SHORT_DESC,Char,8,8,Collision Type Short Description,,
69,CRASH_SVRTY_CD,Char,1,1,Crash Severity Code,,
70,CRASH_SVRTY_SHORT_DESC,Char,3,3,Crash Severity Short Description,,
71,WTHR_COND_CD,Char,1,1,Weather Condition Code,,
72,WTHR_COND_SHORT_DESC,Char,4,4,Weather Condition Short Description,,
73,RD_SURF_COND_CD,Char,1,1,Road Surface Condition Code,,
74,RD_SURF_SHORT_DESC,Char,4,4,Road Surface Short Description,,
75,LGT_COND_CD,Char,1,1,Lighting Condition Code,,
76,LGT_COND_SHORT_DESC,Char,4,4,Lighting Condition Short Description,,
77,TRAF_CNTL_DEVICE_CD,Char,3,3,Traffic Control Device Code,,
78,TRAF_CNTL_DEVICE_SHORT_DESC,Char,10,10,Traffic Control Device Short Description,,
79,TRAF_CNTL_FUNC_FLG,Num,8,2,Traffic Control Device Functional,,
80,INVSTG_AGY_CD,Char,1,1,Investigating Agency Code,,
81,INVSTG_AGY_SHORT_DESC,Char,6,6,Investigating Agency Short Description,,
82,CRASH_EVNT_1_CD,Char,3,3,Crash level Event 1 Code,,
83,CRASH_EVNT_1_SHORT_DESC,Char,10,10,Crash level Event 1 Short Description,,
84,CRASH_EVNT_2_CD,Char,3,3,Crash level Event 2 Code,,
85,CRASH_EVNT_2_SHORT_DESC,Char,10,10,Crash level Event 2 Short Description,,
86,CRASH_EVNT_3_CD,Char,3,3,Crash level Event 3 Code,,
87,CRASH_EVNT_3_SHORT_DESC,Char,10,10,Crash level Event 3 Short Description,,
88,CRASH_CAUSE_1_CD,Char,2,2,Crash Level Cause 1 Code,,
89,CRASH_CAUSE_1_SHORT_DESC,Char,8,8,Crash Level Cause 1 Short Description,,
90,CRASH_CAUSE_2_CD,Char,2,2,Crash Level Cause 2 Code,,
91,CRASH_CAUSE_2_SHORT_DESC,Char,8,8,Crash Level Cause 2 Short Description,,
92,CRASH_CAUSE_3_CD,Char,2,2,Crash Level Cause 3 Code,,
93,CRASH_CAUSE_3_SHORT_DESC,Char,8,8,Crash Level Cause 3 Short Description,,
94,SCHL_ZONE_IND,Char,1,1,School Zone Indicator,,
95,WRK_ZONE_IND,Char,1,1,Work Zone Indicator,,
96,ALCHL_INVLV_FLG,Yes/No,1,1,Crash Alcohol Involved Indicator,"Indicates an active participant in the crash had been drinking  (Active Participant = any participant who had some measure of control over the crash, i.e. a driver, pedestrian, pedalcyclist or other non-motorist.)",
97,DRUG_INVLV_FLG,Yes/No,1,1,Crash Drug Involved Indicator,Indicates an active participant in the crash had been using drugs,
97,MJ_INVLV_FLG,Yes/No,1,1,Crash Marijuana Involved Indicator,Indicates an active participant in the crash was ,
98,CRASH_SPEED_INVLV_FLG,Yes/No,1,1,Crash Speed-Involved Indicator,Indicates a driver had been violating the basic rule or exceeding the posted speed,
99,CRASH_HIT_RUN_FLG,Yes/No,1,1,Crash Hit and Run Indicator,Indicates a driver fled the scene in the vehicle or on foot,
100,POP_RNG_CD,Char,1,1,Population Range Code (Incorporated Cities Only),,
101,POP_RNG_MED_DESC,Char,20,20,Population Range Medium Description,,
102,RD_CNTL_CD,Char,1,1,Road Control Code (Jurisdiction & Location),,
103,RD_CNTL_MED_DESC,Char,20,20,Road Control Medium Description,,
104,RTE_TYP_CD,Char,2,2,Route Type Code (State Highway Crashes Only),,
105,RTE_ID,Char,5,5,Route Identifier (Number) (State Highway Crashes Only),,
106,RTE_NM,Char,10,10,Route Name (type and number),,
107,REG_ID,Char,1,1,Region ID,ODOT Region Number,
108,DIST_ID,Char,3,3,District ID,ODOT District Number ,
109,SEG_MRK_ID,Char,30,varies,Segment Marker ID,Unique identifier for segments within the HARP database,
110,SEG_PT_LRS_MEAS,Num,varies,Float,Segment Point Linear Reference System Measure,"The value in feet along a segment, used in conjunction with SEG_MRK_ID",
111,UNLOCT_FLG,Yes/No,1,,Unlocatable Flag,Indicates whether or not the crash can be geo-located,
112,CRASH_LAST_UD_DT,Num,8,DATETIME19.,Crash Last Updated Date,,
113,TOT_VHCL_CNT,Num,4,byte,Total Vehicle Count,,
114,TOT_FATAL_CNT,Num,4,byte,Total Fatality Count,,
115,TOT_INJ_LVL_A_CNT,Num,4,byte,Total Injury Level A Count   (Total  Serious Injuries in Crash),"See ReadMe_rev_07-2009 file, Part II - B",
116,TOT_INJ_LVL_B_CNT,Num,4,byte,Total Injury Level B Count    (Total Moderate Injuries in Crash),"See ReadMe_rev_07-2009 file, Part II - B",
117,TOT_INJ_LVL_C_CNT,Num,4,byte,Total Injury Level C Count    (Total Minor Injuries in Crash),"See ReadMe_rev_07-2009 file, Part II - B",
118,TOT_INJ_CNT,Num,4,byte,Total Number of Non-Fatal Injuries in the Crash,,
119,TOT_UNINJD_AGE00_04_CNT,Num,4,byte,Total Uninjured Persons Younger than 5yrs,"See ReadMe_rev_07-2009 file, Part II - B",
120,TOT_UNINJD_PER_CNT,Num,4,byte,Total Uninjured Persons ,,
121,TOT_PED_CNT,Num,4,byte,Total Pedestrians Involved in the Crash,,
122,TOT_PED_FATAL_CNT,Num,4,byte,Total Fatally Injured Pedestrians,,
123,TOT_PED_INJ_LVL_A_CNT,Num,4,byte,Total Seriously Injured Pedestrians,only available from MS Access decode Crash table,
124,TOT_PED_INJ_CNT,Num,4,byte,Total Non-Fatally Injured Pedestrians,,
125,TOT_PEDCYCL_CNT,Num,4,byte,Total Pedalcyclists Involved in the Crash,,
126,TOT_PEDCYCL_FATAL_CNT,Num,4,byte,Total Fatally Injured Pedalcyclists,,
127,TOT_PEDCYCL_INJ_LVL_A_CNT,Num,4,byte,Total Seriously Injured Pedalcyclists,only available from MS Access decode Crash table,
128,TOT_PEDCYCL_INJ_CNT,Num,4,byte,Total Injured Pedalcyclists,,
129,TOT_UNKNWN_CNT,Num,4,byte,Total Unknown Participant Injury Count,"See ReadMe_rev_07-2009 file, Part II - B",
130,TOT_UNKNWN_FATAL_CNT,Num,4,byte,Total Unknown ParticipantFatality Count,"See ReadMe_rev_07-2009 file, Part II - B",
131,TOT_UNKNWN_INJ_CNT,Num,4,byte,Total Unknown Injury Count,"See ReadMe_rev_07-2009 file, Part II - B",
132,TOT_OCCUP_CNT,Num,4,byte,Total Vehicle Occupant Count,,
133,TOT_PER_INVLV_CNT,Num,4,byte,Total Participants Involved in Crash,"See ReadMe_rev_07-2009 file, Part II - B",
134,TOT_SFTY_EQUIP_USED_QTY,Num,4,byte,Total Number of Safety Equipment Used,"See ReadMe_rev_07-2009 file, Part II - B",
135,TOT_SFTY_EQUIP_UNUSED_QTY,Num,4,byte,Total Number of Safety Equipment Unused,"See ReadMe_rev_07-2009 file, Part II - B",
136,TOT_SFTY_EQUIP_USE_UNKNOWN_QTY,Num,4,byte,Total Number of Safety Equipment Use Unknown,"See ReadMe_rev_07-2009 file, Part II - B",
137,TOT_PSNGR_VHCL_OCC_UNRESTRND_FATAL_CNT,Num,4,byte,Total passenger vehicle occupant fatalities not using safety equipment,only available from MS Access decode Crash table,
138,TOT_MCYCLST_FATAL_CNT,Num,4,byte,Total motorcyclists (operators and passengers) who were killed,only available from MS Access decode Crash table,
139,TOT_MCYCLST_INJ_LVL_A_CNT,Num,4,byte,Total motorcyclists who were seriously injured,only available from MS Access decode Crash table,
140,TOT_MCYCLST_INJ_CNT,Num,4,byte,Total motorcyclists who had any non-fatal injury,only available from MS Access decode Crash table,
141,TOT_MCYCLST_UNHELMTD_FATAL_CNT,Num,4,byte,Total motorcyclists killed who were not wearing a helmet,only available from MS Access decode Crash table,
142,TOT_ALCHL_IMPAIRED_DRVR_INV_FATAL_CNT,Num,4,byte,All persons killed in crashes involving a driver with a BAC of .08 to .80 ,only available from MS Access decode Crash table,
143,TOT_DRVR_AGE_01_20_CNT,Num,4,byte,Number of drivers age 01 to 20,only available from MS Access decode Crash table,
144,LANE_RDWY_DPRT_CRASH_FLG,Y/N,1,,Crash involved a vehicle that departed its intended lane of travel or ran off the roadway.,only available from MS Access decode Crash table,